text,norm,category,lemma,source
Lernenden,lernenden,noun,lernenden,docs/cefr/goethe_a1_wortliste.pdf
gesprochenen,gesprochenen,adjective,gesprochen,docs/cefr/goethe_a1_wortliste.pdf
oder,oder,conjunction,oder,docs/cefr/goethe_a1_wortliste.pdf
geschriebenen,geschriebenen,adjective,geschrieben,docs/cefr/goethe_a1_wortliste.pdf
Texten,texten,noun,text,docs/cefr/goethe_a1_wortliste.pdf
begeg,begeg,verb,begeg,docs/cefr/goethe_a1_wortliste.pdf
nen,nen,article,nen,docs/cefr/goethe_a1_wortliste.pdf
aktiver,aktiver,adverb,aktiv,docs/cefr/goethe_a1_wortliste.pdf
etwa,etwa,adverb,etwa,docs/cefr/goethe_a1_wortliste.pdf
Hälfte,hälfte,noun,hälfte,docs/cefr/goethe_a1_wortliste.pdf
circa,circa,adverb,circa,docs/cefr/goethe_a1_wortliste.pdf
Verfügung,verfügung,noun,verfügung,docs/cefr/goethe_a1_wortliste.pdf
stehen,stehen,verb,stehen,docs/cefr/goethe_a1_wortliste.pdf
Zunächst,zunächst,adverb,zunächst,docs/cefr/goethe_a1_wortliste.pdf
genannt,genannt,verb,nennen,docs/cefr/goethe_a1_wortliste.pdf
Niveau,niveau,noun,niveau,docs/cefr/goethe_a1_wortliste.pdf
vor,vor,preposition,vor,docs/cefr/goethe_a1_wortliste.pdf
gesehen,gesehen,verb,sehen,docs/cefr/goethe_a1_wortliste.pdf
folgen,folgen,verb,folgen,docs/cefr/goethe_a1_wortliste.pdf
häufig,häufig,adverb,häufig,docs/cefr/goethe_a1_wortliste.pdf
gebrauchte,gebrauchte,verb,gebraucht,docs/cefr/goethe_a1_wortliste.pdf
wie,wie,preposition,wie,docs/cefr/goethe_a1_wortliste.pdf
Zahlen,zahlen,noun,zahl,docs/cefr/goethe_a1_wortliste.pdf
Wochentage,wochentage,noun,wochentage,docs/cefr/goethe_a1_wortliste.pdf
Monate,monate,noun,monat,docs/cefr/goethe_a1_wortliste.pdf
Daran,daran,adverb,daran,docs/cefr/goethe_a1_wortliste.pdf
schließt,schließt,verb,schließen,docs/cefr/goethe_a1_wortliste.pdf
Zusammenstellung,zusammenstellung,noun,zusammenstellung,docs/cefr/goethe_a1_wortliste.pdf
einzelnen,einzelnen,pronoun,einzeln,docs/cefr/goethe_a1_wortliste.pdf
an,an,preposition,an,docs/cefr/goethe_a1_wortliste.pdf
Bedeutung,bedeutung,noun,bedeutung,docs/cefr/goethe_a1_wortliste.pdf
durch,durch,preposition,durch,docs/cefr/goethe_a1_wortliste.pdf
Beispielsätze,beispielsätze,noun,beispielsätz,docs/cefr/goethe_a1_wortliste.pdf
illustriert,illustriert,verb,illustrieren,docs/cefr/goethe_a1_wortliste.pdf
Darunter,darunter,adverb,darunter,docs/cefr/goethe_a1_wortliste.pdf
finden,finden,verb,finden,docs/cefr/goethe_a1_wortliste.pdf
wichtige,wichtige,adjective,wichtig,docs/cefr/goethe_a1_wortliste.pdf
Redewen,redewen,proper noun,redewe,docs/cefr/goethe_a1_wortliste.pdf
dungen,dungen,noun,dung,docs/cefr/goethe_a1_wortliste.pdf
idiomatische,idiomatische,adjective,idiomatisch,docs/cefr/goethe_a1_wortliste.pdf
Ausdrücke,ausdrücke,noun,ausdruck,docs/cefr/goethe_a1_wortliste.pdf
denen,denen,pronoun,der,docs/cefr/goethe_a1_wortliste.pdf
Neuankömmlinge,neuankömmlinge,noun,neuankömmling,docs/cefr/goethe_a1_wortliste.pdf
Deutschland,deutschland,proper noun,deutschland,docs/cefr/goethe_a1_wortliste.pdf
sofort,sofort,adverb,sofort,docs/cefr/goethe_a1_wortliste.pdf
begegnen,begegnen,verb,begegnen,docs/cefr/goethe_a1_wortliste.pdf
Wiedersehen,wiedersehen,noun,wiedersehen,docs/cefr/goethe_a1_wortliste.pdf
Guten,guten,noun,gute,docs/cefr/goethe_a1_wortliste.pdf
Appetit,appetit,noun,appetit,docs/cefr/goethe_a1_wortliste.pdf
zwischen,zwischen,preposition,zwischen,docs/cefr/goethe_a1_wortliste.pdf
Haupt,haupt,noun,haupt,docs/cefr/goethe_a1_wortliste.pdf
ableitbaren,ableitbaren,verb,ableitbaren,docs/cefr/goethe_a1_wortliste.pdf
Nebeneinträgen,nebeneinträgen,noun,nebeneinträge,docs/cefr/goethe_a1_wortliste.pdf
unter,unter,preposition,unter,docs/cefr/goethe_a1_wortliste.pdf
schieden,schieden,verb,scheiden,docs/cefr/goethe_a1_wortliste.pdf
eingerückten,eingerückten,adjective,eingerückt,docs/cefr/goethe_a1_wortliste.pdf
Nebeneinträge,nebeneinträge,noun,nebeneintrag,docs/cefr/goethe_a1_wortliste.pdf
auch,auch,adverb,auch,docs/cefr/goethe_a1_wortliste.pdf
Wortbildung,wortbildung,noun,wortbildung,docs/cefr/goethe_a1_wortliste.pdf
erschließbar,erschließbar,adverb,erschließbar,docs/cefr/goethe_a1_wortliste.pdf
solche,solche,article,solcher,docs/cefr/goethe_a1_wortliste.pdf
Einträge,einträge,noun,eintrag,docs/cefr/goethe_a1_wortliste.pdf
Ausland,ausland,noun,ausland,docs/cefr/goethe_a1_wortliste.pdf
Ausländer,ausländer,noun,ausländer,docs/cefr/goethe_a1_wortliste.pdf
danken,danken,verb,danken,docs/cefr/goethe_a1_wortliste.pdf
Dank,dank,preposition,dank,docs/cefr/goethe_a1_wortliste.pdf
Weibliche,weibliche,noun,weibliche,docs/cefr/goethe_a1_wortliste.pdf
Formen,formen,noun,form,docs/cefr/goethe_a1_wortliste.pdf
nicht,nicht,particle,nicht,docs/cefr/goethe_a1_wortliste.pdf
zusätzlich,zusätzlich,adverb,zusätzlich,docs/cefr/goethe_a1_wortliste.pdf
aufgelistet,aufgelistet,verb,auflisten,docs/cefr/goethe_a1_wortliste.pdf
neben,neben,preposition,neben,docs/cefr/goethe_a1_wortliste.pdf
Lehrer,lehrer,noun,lehrer,docs/cefr/goethe_a1_wortliste.pdf
beispielsweise,beispielsweise,adverb,beispielsweise,docs/cefr/goethe_a1_wortliste.pdf
Lehrerin,lehrerin,noun,lehrerin,docs/cefr/goethe_a1_wortliste.pdf
Teil,teil,noun,teil,docs/cefr/goethe_a1_wortliste.pdf
geforderten,geforderten,adjective,gefordert,docs/cefr/goethe_a1_wortliste.pdf
Information,information,noun,information,docs/cefr/goethe_a1_wortliste.pdf
Referenz,referenz,noun,referenz,docs/cefr/goethe_a1_wortliste.pdf
alle,alle,pronoun,aller,docs/cefr/goethe_a1_wortliste.pdf
Interessenten,interessenten,noun,interessent,docs/cefr/goethe_a1_wortliste.pdf
gedacht,gedacht,verb,denken,docs/cefr/goethe_a1_wortliste.pdf
ermöglicht,ermöglicht,verb,ermöglichen,docs/cefr/goethe_a1_wortliste.pdf
über,über,preposition,über,docs/cefr/goethe_a1_wortliste.pdf
Anspruchsniveau,anspruchsniveau,noun,anspruchsniveau,docs/cefr/goethe_a1_wortliste.pdf
Weniger,weniger,pronoun,weniger,docs/cefr/goethe_a1_wortliste.pdf
geeignet,geeignet,adverb,eignen,docs/cefr/goethe_a1_wortliste.pdf
diese,diese,article,dieser,docs/cefr/goethe_a1_wortliste.pdf
Festigung,festigung,noun,festigung,docs/cefr/goethe_a1_wortliste.pdf
Dazu,dazu,adverb,dazu,docs/cefr/goethe_a1_wortliste.pdf
empfiehlt,empfiehlt,verb,empfehlen,docs/cefr/goethe_a1_wortliste.pdf
Besuch,besuch,noun,besuch,docs/cefr/goethe_a1_wortliste.pdf
eines,eines,pronoun,ein,docs/cefr/goethe_a1_wortliste.pdf
Sprachkurses,sprachkurses,noun,sprachkurse,docs/cefr/goethe_a1_wortliste.pdf
Verwendung,verwendung,noun,verwendung,docs/cefr/goethe_a1_wortliste.pdf
didaktisch,didaktisch,adverb,didaktisch,docs/cefr/goethe_a1_wortliste.pdf
Lehrmaterial,lehrmaterial,noun,lehrmaterial,docs/cefr/goethe_a1_wortliste.pdf
Michaela,michaela,proper noun,michaela,docs/cefr/goethe_a1_wortliste.pdf
Perlmann-Balme,perlmann-balme,noun,perlmann-balm,docs/cefr/goethe_a1_wortliste.pdf
Inventare,inventare,noun,inventar,docs/cefr/goethe_a1_wortliste.pdf
notwendigen,notwendigen,adjective,notwendig,docs/cefr/goethe_a1_wortliste.pdf
zusammengestellt,zusammengestellt,verb,zusammenstellen,docs/cefr/goethe_a1_wortliste.pdf
Person,person,noun,person,docs/cefr/goethe_a1_wortliste.pdf
Geschlecht,geschlecht,noun,geschlecht,docs/cefr/goethe_a1_wortliste.pdf
Name,name,noun,name,docs/cefr/goethe_a1_wortliste.pdf
Familienstand,familienstand,noun,familienstand,docs/cefr/goethe_a1_wortliste.pdf
Familie,familie,noun,familie,docs/cefr/goethe_a1_wortliste.pdf
