lemma,category,gender,notes,source
relevant,adverb,,,cefr_a1
richtig,adverb,,,cefr_a1
rot,adverb,,,cefr_a1
ruhig,adverb,,,cefr_a1
russisch,adverb,,,cefr_a1
samstags,adverb,,,cefr_a1
schlecht,adverb,,,cefr_a1
schmecken,adverb,,,cefr_a1
schnell,adverb,,,cefr_a1
schon,adverb,,,cefr_a1
schwarz,adverb,,,cefr_a1
schwer,adverb,,,cefr_a1
schön,adverb,,,cefr_a1
sehr,adverb,,,cefr_a1
selbstständig,adverb,,,cefr_a1
sinntragend,adverb,,,cefr_a1
so,adverb,,,cefr_a1
sofort,adverb,,,cefr_a1
spät,adverb,,,cefr_a1
stell,adverb,,,cefr_a1
telc,adverb,,,cefr_a1
teuer,adverb,,,cefr_a1
tot,adverb,,,cefr_a1
türkisch,adverb,,,cefr_a1
unerlässlich,adverb,,,cefr_a1
unten,adverb,,,cefr_a1
vielleicht,adverb,,,cefr_a1
warum,adverb,,,cefr_a1
weg,adverb,,,cefr_a1
weh,adverb,,,cefr_a1
weiblich,adverb,,,cefr_a1
weit,adverb,,,cefr_a1
weiter,adverb,,,cefr_a1
welcher,adverb,,,cefr_a1
wem,adverb,,,cefr_a1
wichtig,adverb,,,cefr_a1
wie,adverb,,,cefr_a1
willkommen,adverb,,,cefr_a1
wohin,adverb,,,cefr_a1
wunderbar,adverb,,,cefr_a1
zufrieden,adverb,,,cefr_a1
zugrunde,adverb,,,cefr_a1
zunächst,adverb,,,cefr_a1
zurück,adverb,,,cefr_a1
zusammen,adverb,,,cefr_a1
zusätzlich,adverb,,,cefr_a1
all,article,,,cefr_a1
aller,article,,,cefr_a1
dein,article,,,cefr_a1
deine,article,,,cefr_a1
der,article,,,cefr_a1
dieser,article,,,cefr_a1
ein,article,,,cefr_a1
euer,article,,,cefr_a1
ihr,article,,,cefr_a1
jeder,article,,,cefr_a1
kein,article,,,cefr_a1
mein,article,,,cefr_a1
nen,article,,,cefr_a1
paar,article,,,cefr_a1
sein,article,,,cefr_a1
solcher,article,,,cefr_a1
unser,article,,,cefr_a1
viel,article,,,cefr_a1
welcher,article,,,cefr_a1
aber,conjunction,,,cefr_a1
bis,conjunction,,,cefr_a1
da,conjunction,,,cefr_a1
denn,conjunction,,,cefr_a1
doch,conjunction,,,cefr_a1
möchtest,conjunction,,,cefr_a1
noch,conjunction,,,cefr_a1
oder,conjunction,,,cefr_a1
plus,conjunction,,,cefr_a1
seit,conjunction,,,cefr_a1
um,conjunction,,,cefr_a1
und,conjunction,,,cefr_a1
wann,conjunction,,,cefr_a1
warum,conjunction,,,cefr_a1
wenn,conjunction,,,cefr_a1
wo,conjunction,,,cefr_a1
woher,conjunction,,,cefr_a1
abend,noun,,,cefr_a1
abfahrt,noun,,,cefr_a1
abflug,noun,,,cefr_a1
absender,noun,,,cefr_a1
achtung,noun,,,cefr_a1
adresse,noun,,,cefr_a1
alter,noun,,,cefr_a1
anfang,noun,,,cefr_a1
angabe,noun,,,cefr_a1
angebot,noun,,,cefr_a1
ankunft,noun,,,cefr_a1
anmeldung,noun,,,cefr_a1
anrede,noun,,,cefr_a1
anruf,noun,,,cefr_a1
anrufbeantworter,noun,,,cefr_a1
ansag,noun,,,cefr_a1
ansage,noun,,,cefr_a1
anschluss,noun,,,cefr_a1
anspruchsniveau,noun,,,cefr_a1
antwort,noun,,,cefr_a1
antwortboge,noun,,,cefr_a1
anzeige,noun,,,cefr_a1
apartment,noun,,,cefr_a1
apfel,noun,,,cefr_a1
apfelsaft,noun,,,cefr_a1
apotheke,noun,,,cefr_a1
appetit,noun,,,cefr_a1
april,noun,,,cefr_a1
arbeit,noun,,,cefr_a1
arbeiter,noun,,,cefr_a1
arbeitsfassung,noun,,,cefr_a1
arbeitsplatz,noun,,,cefr_a1
arm,noun,,,cefr_a1
arzt,noun,,,cefr_a1
association,noun,,,cefr_a1
ation,noun,,,cefr_a1
aufgabe,noun,,,cefr_a1
aufgenom,noun,,,cefr_a1
aufgenomma,noun,,,cefr_a1
auflage,noun,,,cefr_a1
auftrag,noun,,,cefr_a1
aufzug,noun,,,cefr_a1
auge,noun,,,cefr_a1
ausbildung,noun,,,cefr_a1
ausdruck,noun,,,cefr_a1
ausflug,noun,,,cefr_a1
ausgabe,noun,,,cefr_a1
ausgang,noun,,,cefr_a1
auskunft,noun,,,cefr_a1
ausland,noun,,,cefr_a1
auslandsvertretung,noun,,,cefr_a1
ausländer,noun,,,cefr_a1
ausländerin,noun,,,cefr_a1
aussage,noun,,,cefr_a1
aussehen,noun,,,cefr_a1
aussteigen,noun,,,cefr_a1
auswahl,noun,,,cefr_a1
ausweis,noun,,,cefr_a1
auszug,noun,,,cefr_a1
auto,noun,,,cefr_a1
autobahn,noun,,,cefr_a1
automat,noun,,,cefr_a1
bahn,noun,,,cefr_a1
bahnhof,noun,,,cefr_a1
bahnhofstraße,noun,,,cefr_a1
bahnsteig,noun,,,cefr_a1
balkon,noun,,,cefr_a1
banane,noun,,,cefr_a1
bank,noun,,,cefr_a1
bauch,noun,,,cefr_a1
baum,noun,,,cefr_a1
beamter,noun,,,cefr_a1
beamtin,noun,,,cefr_a1
beantworter,noun,,,cefr_a1
bedeutung,noun,,,cefr_a1
beherr,noun,,,cefr_a1
bein,noun,,,cefr_a1
beispielsätz,noun,,,cefr_a1
bekannte,noun,,,cefr_a1
bekannter,noun,,,cefr_a1
bereich,noun,,,cefr_a1
berghaus,noun,,,cefr_a1
beruf,noun,,,cefr_a1
bestandteil,noun,,,cefr_a1
besuch,noun,,,cefr_a1
bett,noun,,,cefr_a1
bewohner,noun,,,cefr_a1
bewältigung,noun,,,cefr_a1
beziehung,noun,,,cefr_a1
bier,noun,,,cefr_a1
bild,noun,,,cefr_a1
bildung,noun,,,cefr_a1
birne,noun,,,cefr_a1
bleistift,noun,,,cefr_a1
blick,noun,,,cefr_a1
blume,noun,,,cefr_a1
bogen,noun,,,cefr_a1
breite,noun,,,cefr_a1
brief,noun,,,cefr_a1
briefmarke,noun,,,cefr_a1
broschüre,noun,,,cefr_a1
brot,noun,,,cefr_a1
bruder,noun,,,cefr_a1
brötchen,noun,,,cefr_a1
buch,noun,,,cefr_a1
buchladen,noun,,,cefr_a1
buchstabe,noun,,,cefr_a1
bundesministerium,noun,,,cefr_a1
bundesrepublik,noun,,,cefr_a1
bung,noun,,,cefr_a1
bus,noun,,,cefr_a1
butter,noun,,,cefr_a1
bäckerei,noun,,,cefr_a1
büro,noun,,,cefr_a1
caf,noun,,,cefr_a1
cd,noun,,,cefr_a1
celsius,noun,,,cefr_a1
cent,noun,,,cefr_a1
chef,noun,,,cefr_a1
chefin,noun,,,cefr_a1
computer,noun,,,cefr_a1
dame,noun,,,cefr_a1
danke,noun,,,cefr_a1
deut,noun,,,cefr_a1
deutsche,noun,,,cefr_a1
deutschkurs,noun,,,cefr_a1
deutschlehrerin,noun,,,cefr_a1
deutschprüfung,noun,,,cefr_a1
dezember,noun,,,cefr_a1
dienstag,noun,,,cefr_a1
dienstleistung,noun,,,cefr_a1
disco,noun,,,cefr_a1
disko,noun,,,cefr_a1
doktor,noun,,,cefr_a1
dom,noun,,,cefr_a1
donnerstag,noun,,,cefr_a1
doppelzimmer,noun,,,cefr_a1
dorf,noun,,,cefr_a1
drucker,noun,,,cefr_a1
dung,noun,,,cefr_a1
durchsage,noun,,,cefr_a1
durst,noun,,,cefr_a1
dusche,noun,,,cefr_a1
duschen,noun,,,cefr_a1
e-mail,noun,,,cefr_a1
ecke,noun,,,cefr_a1
ehe,noun,,,cefr_a1
ehefrau,noun,,,cefr_a1
ehemann,noun,,,cefr_a1
ei,noun,,,cefr_a1
eingang,noun,,,cefr_a1
einkaufen,noun,,,cefr_a1
einladung,noun,,,cefr_a1
einrichtung,noun,,,cefr_a1
eintrag,noun,,,cefr_a1
eintritt,noun,,,cefr_a1
eintrittskarte,noun,,,cefr_a1
einzelzimmer,noun,,,cefr_a1
eltern,noun,,,cefr_a1
empfänger,noun,,,cefr_a1
ende,noun,,,cefr_a1
entschuldigen,noun,,,cefr_a1
entschuldigung,noun,,,cefr_a1
ergebnis,noun,,,cefr_a1
erwachsene,noun,,,cefr_a1
erziehung,noun,,,cefr_a1
euro,noun,,,cefr_a1
europäer,noun,,,cefr_a1
fahren,noun,,,cefr_a1
fahrer,noun,,,cefr_a1
fahrkarte,noun,,,cefr_a1
fahrrad,noun,,,cefr_a1
fahrt,noun,,,cefr_a1
familie,noun,,,cefr_a1
familienname,noun,,,cefr_a1
familiennamen,noun,,,cefr_a1
familienstand,noun,,,cefr_a1
farbe,noun,,,cefr_a1
fax,noun,,,cefr_a1
februar,noun,,,cefr_a1
fehler,noun,,,cefr_a1
feier,noun,,,cefr_a1
feierabend,noun,,,cefr_a1
feiertag,noun,,,cefr_a1
fenster,noun,,,cefr_a1
fernsehen,noun,,,cefr_a1
festigung,noun,,,cefr_a1
feuer,noun,,,cefr_a1
fieber,noun,,,cefr_a1
film,noun,,,cefr_a1
finne,noun,,,cefr_a1
firma,noun,,,cefr_a1
fisch,noun,,,cefr_a1
flasche,noun,,,cefr_a1
fleisch,noun,,,cefr_a1
flughafen,noun,,,cefr_a1
flugzeug,noun,,,cefr_a1
form,noun,,,cefr_a1
formular,noun,,,cefr_a1
foto,noun,,,cefr_a1
frage,noun,,,cefr_a1
französisch,noun,,,cefr_a1
frau,noun,,,cefr_a1
freitag,noun,,,cefr_a1
freizeit,noun,,,cefr_a1
fremdsprache,noun,,,cefr_a1
frequenzkriterie,noun,,,cefr_a1
freund,noun,,,cefr_a1
freundin,noun,,,cefr_a1
frühjahr,noun,,,cefr_a1
frühling,noun,,,cefr_a1
frühstück,noun,,,cefr_a1
fuß,noun,,,cefr_a1
fußball,noun,,,cefr_a1
fähigkeit,noun,,,cefr_a1
fährst,noun,,,cefr_a1
führung,noun,,,cefr_a1
füllen,noun,,,cefr_a1
garten,noun,,,cefr_a1
gast,noun,,,cefr_a1
gebrauchsartikel,noun,,,cefr_a1
geburtsdatum,noun,,,cefr_a1
geburtsjahr,noun,,,cefr_a1
geburtsort,noun,,,cefr_a1
geburtstag,noun,,,cefr_a1
gefallen,noun,,,cefr_a1
geld,noun,,,cefr_a1
gemüse,noun,,,cefr_a1
gepäck,noun,,,cefr_a1
geschenk,noun,,,cefr_a1
geschlecht,noun,,,cefr_a1
geschwister,noun,,,cefr_a1
geschäft,noun,,,cefr_a1
gespräch,noun,,,cefr_a1
getränk,noun,,,cefr_a1
gewicht,noun,,,cefr_a1
gewohnheit,noun,,,cefr_a1
glaboniat,noun,,,cefr_a1
glas,noun,,,cefr_a1
